"SA_GUID__1","householdsTotal","noHeating","noRenewableEnergyHouses","yearBuilt","mobHome","unoccupiedDwellings","oneParent","onePerson","noCar","noInternet","priWater","familyUnits"
"00b00ae4-229d-455d-84f1-d6face4876b1",116,0,36,2,0,2,38,14,15,4,0,23
"03003797-1fcd-4fcf-8dde-b2188e3fb1db",119,1,70,34,0,11,7,34,8,17,90,16
"06650182-eeaa-4c6c-847c-f85ddaf5361b",114,0,71,0,0,4,12,7,2,1,0,26
"08e82f06-46ee-4141-aa07-79a793a12b27",86,0,79,0,0,12,29,13,16,3,0,10
"0920215b-86d3-4a53-9fc0-6008ae5c91f9",98,0,54,1,0,9,12,12,2,5,0,15
"0daa02c9-4e30-45fe-90d7-6a1d3e7af2cb",37,1,9,0,0,13,1,11,1,1,0,1
"0e57c869-df49-46c2-877b-36f156c13886",136,1,22,0,0,2,26,8,20,3,1,13
"1176f444-d84c-4d45-8542-8b8c8f8faf34",80,2,66,11,0,16,4,30,10,17,1,4
"118eb6e0-2bee-4d5d-ab0f-1a62533867d9",87,1,56,27,0,15,9,14,6,7,0,14
"153e9c1b-7914-4336-944e-6be1093e42bb",75,1,59,6,0,9,6,12,2,5,0,8
"1d83e8e7-21a7-4171-9af4-95ca80526e6f",117,0,28,0,0,0,16,4,5,1,2,28
"1ef64ba6-b4a2-4766-a362-a8c8ea2fde69",87,0,63,1,0,2,8,20,9,3,0,5
"2017b716-a9c4-4a19-a78e-00e8fc41d387",71,0,38,2,0,13,3,18,3,0,0,5
"21352cf7-5b52-4014-8d9f-2a856265c1ea",43,2,28,1,0,38,3,8,0,1,1,4
"22ad6a7d-8e4d-4ab7-8555-2caad5ebd41f",64,1,29,0,0,6,21,15,10,2,3,9
"2544677f-3cbd-4bfa-8cfb-ca4b5f5d8487",74,0,34,31,2,9,6,8,3,4,1,14
"26202a16-f5e2-4677-9210-83a0932830a6",93,1,25,10,0,6,3,6,1,0,1,7
"2e07f2ef-8c88-421a-97e7-8962fae4f900",169,0,77,0,0,13,8,17,59,0,7,1
"34b7652b-a1bc-41f3-b17c-095b90df8cff",86,0,10,0,0,1,4,7,0,0,0,8
"357df785-6a30-4bb3-bf83-cdcb0862608d",105,1,66,12,0,15,14,23,5,17,7,16
"376ff1b4-95c2-4495-ad4d-0d11877196df",109,2,90,5,0,12,14,11,2,1,1,21
"3b75487f-3613-4ed4-93e2-10f00b185393",95,0,77,5,0,4,14,11,2,4,2,17
"3e4035b4-e5aa-4867-9544-0453c9c8d144",134,2,120,0,0,4,16,16,42,0,8,0
"42091245-a8d8-448d-8672-16cbb9b21c7f",49,0,42,11,0,2,3,12,1,0,0,4
"45feeadf-1928-4a48-80f1-ee14437adcf7",160,2,110,25,0,11,12,34,6,25,39,17
"4983ca86-813d-49f2-8efc-9a8b96e503ff",88,0,51,16,0,4,9,24,6,8,30,6
"4b75e605-c343-483a-8431-fc188ba62276",78,2,57,5,0,12,6,23,7,11,5,11
"4b9cdd99-e871-4fa9-a5d2-9d2a2d6f97fe",101,0,86,15,2,3,18,16,4,5,0,11
"4c07d11d-f3be-851d-e053-ca3ca8c0ca7f",96,5,46,26,0,17,3,18,4,19,61,12
"4c07d11d-f3cc-851d-e053-ca3ca8c0ca7f",103,2,65,32,1,7,13,22,7,20,95,19
"4c07d11d-f3ce-851d-e053-ca3ca8c0ca7f",69,2,49,12,1,11,5,13,0,9,27,11
"4c07d11d-f3dd-851d-e053-ca3ca8c0ca7f",140,3,72,36,0,13,10,32,4,15,29,13
"4c07d11d-f3f9-851d-e053-ca3ca8c0ca7f",113,2,61,35,0,19,8,32,1,12,86,16
"4c07d11d-f403-851d-e053-ca3ca8c0ca7f",73,1,39,16,0,6,8,13,2,8,64,13
"4c07d11d-f428-851d-e053-ca3ca8c0ca7f",169,4,87,52,3,13,13,39,10,20,56,24
"4c07d11d-f42f-851d-e053-ca3ca8c0ca7f",90,1,65,14,0,11,9,15,0,10,10,13
"4c07d11d-f437-851d-e053-ca3ca8c0ca7f",42,1,26,11,1,6,2,10,0,3,13,3
"4c07d11d-f43b-851d-e053-ca3ca8c0ca7f",86,2,36,27,2,16,6,26,2,18,27,11
"4c07d11d-f440-851d-e053-ca3ca8c0ca7f",81,0,59,12,1,28,4,22,7,16,30,9
"4c07d11d-f442-851d-e053-ca3ca8c0ca7f",80,2,56,13,0,18,2,21,7,19,14,10
"4c07d11d-f450-851d-e053-ca3ca8c0ca7f",95,1,63,15,1,25,9,26,2,13,31,11
"4c07d11d-f454-851d-e053-ca3ca8c0ca7f",89,3,61,15,2,23,11,22,4,7,7,14
"4c07d11d-f458-851d-e053-ca3ca8c0ca7f",114,1,70,17,0,14,18,20,2,2,100,17
"4c07d11d-f45a-851d-e053-ca3ca8c0ca7f",117,0,65,14,0,12,6,26,3,16,112,12
"4c07d11d-f461-851d-e053-ca3ca8c0ca7f",133,5,79,50,1,24,10,39,9,30,121,16
"4c07d11d-f470-851d-e053-ca3ca8c0ca7f",64,5,32,23,1,100,6,22,5,9,30,4
"4c07d11d-f471-851d-e053-ca3ca8c0ca7f",81,7,47,20,3,80,3,26,4,17,54,7
"4c07d11d-f481-851d-e053-ca3ca8c0ca7f",84,5,53,20,0,26,12,16,3,17,58,12
"4c07d11d-f482-851d-e053-ca3ca8c0ca7f",86,3,57,18,0,31,8,19,3,18,51,6
"4c07d11d-f487-851d-e053-ca3ca8c0ca7f",79,0,63,11,0,19,7,17,6,14,12,9
"4c07d11d-f491-851d-e053-ca3ca8c0ca7f",93,1,68,27,0,36,6,24,6,18,45,8
"4c07d11d-f4b0-851d-e053-ca3ca8c0ca7f",105,3,45,29,0,12,6,24,6,15,11,11
"4c07d11d-f4c8-851d-e053-ca3ca8c0ca7f",94,1,53,13,0,12,7,16,2,6,89,23
"4c07d11d-f4ca-851d-e053-ca3ca8c0ca7f",109,0,64,19,0,23,5,33,4,25,39,9
"4c07d11d-f4f8-851d-e053-ca3ca8c0ca7f",131,1,57,35,0,14,14,30,1,15,8,21
"4c07d11d-f4f9-851d-e053-ca3ca8c0ca7f",119,1,65,18,0,9,10,28,6,20,9,11
"4c07d11d-f504-851d-e053-ca3ca8c0ca7f",133,3,82,33,0,13,13,32,4,18,16,11
"4c07d11d-f50e-851d-e053-ca3ca8c0ca7f",89,3,44,27,3,15,8,20,2,17,10,13
"4c07d11d-f51d-851d-e053-ca3ca8c0ca7f",92,3,44,36,0,26,8,23,5,15,69,12
"4c07d11d-f52f-851d-e053-ca3ca8c0ca7f",128,3,77,15,0,141,11,35,3,7,100,8
"4c07d11d-f540-851d-e053-ca3ca8c0ca7f",102,2,62,19,0,9,7,20,3,9,17,11
"4c07d11d-f54e-851d-e053-ca3ca8c0ca7f",96,1,54,33,1,9,5,19,7,13,81,12
"4c07d11d-f561-851d-e053-ca3ca8c0ca7f",80,3,51,29,1,80,11,27,17,8,2,5
"4c07d11d-f566-851d-e053-ca3ca8c0ca7f",49,1,31,18,0,22,4,12,4,10,49,9
"4c07d11d-f56a-851d-e053-ca3ca8c0ca7f",71,1,44,25,0,75,7,22,13,11,10,16
"4c07d11d-f56e-851d-e053-ca3ca8c0ca7f",104,2,57,21,0,42,13,26,5,20,78,10
"4c07d11d-f578-851d-e053-ca3ca8c0ca7f",58,0,47,12,0,37,4,12,6,9,38,2
"4c07d11d-f583-851d-e053-ca3ca8c0ca7f",154,5,99,34,0,5,11,18,3,14,88,14
"4c07d11d-f589-851d-e053-ca3ca8c0ca7f",129,1,65,18,0,17,9,17,1,15,115,23
"4c07d11d-f58e-851d-e053-ca3ca8c0ca7f",135,3,84,37,1,12,9,21,6,13,89,18
"4c07d11d-f5a5-851d-e053-ca3ca8c0ca7f",124,0,61,21,0,4,7,27,3,13,31,14
"4c07d11d-f5a8-851d-e053-ca3ca8c0ca7f",97,2,51,22,0,12,9,18,1,9,88,17
"4c07d11d-f5d5-851d-e053-ca3ca8c0ca7f",161,0,102,40,1,21,10,33,13,41,99,27
"4c07d11d-f5dd-851d-e053-ca3ca8c0ca7f",67,1,38,12,0,11,3,14,4,6,20,9
"4c07d11d-f5e8-851d-e053-ca3ca8c0ca7f",133,2,66,18,0,9,9,22,2,7,62,19
"4c07d11d-f5f7-851d-e053-ca3ca8c0ca7f",75,1,47,20,0,11,6,11,1,10,35,15
"4c07d11d-f5ff-851d-e053-ca3ca8c0ca7f",136,0,79,46,0,12,12,27,3,23,135,21
"4c07d11d-f60e-851d-e053-ca3ca8c0ca7f",73,0,28,21,0,15,6,19,1,5,72,9
"4c07d11d-f625-851d-e053-ca3ca8c0ca7f",39,0,22,5,0,57,4,13,2,7,20,3
"4c07d11d-f655-851d-e053-ca3ca8c0ca7f",108,3,59,25,0,16,9,16,0,7,104,22
"4c07d11d-f656-851d-e053-ca3ca8c0ca7f",73,1,40,29,1,26,4,24,4,8,15,7
"4c07d11d-f65f-851d-e053-ca3ca8c0ca7f",136,4,72,43,2,37,15,25,3,13,98,27
"4c07d11d-f667-851d-e053-ca3ca8c0ca7f",103,1,57,24,0,8,8,19,6,10,99,14
"4c07d11d-f672-851d-e053-ca3ca8c0ca7f",59,0,25,15,1,42,3,19,4,8,31,9
